url	issue_type	http_status	final_url	canonical	details
	DUPLICATE_URL	200	https://equsto.com/en/restaurant-kitchen-quote	https://equsto.com/en/restaurant-kitchen-quote	
	DUPLICATE_URL	200	https://equsto.com/en/hotel-kitchen-equipment	https://equsto.com/en/hotel-kitchen-equipment	
	DUPLICATE_URL	200	https://equsto.com/en/oztiryakiler-equipment-supply	https://equsto.com/en/oztiryakiler-equipment-supply	
	DUPLICATE_URL	200	https://equsto.com/en/cold-room-quote	https://equsto.com/en/cold-room-quote	
	DUPLICATE_URL	200	https://equsto.com/en/deli-counter-refrigeration	https://equsto.com/en/deli-counter-refrigeration	
	DUPLICATE_URL	200	https://equsto.com/en/industrial-cooking-equipment	https://equsto.com/en/industrial-cooking-equipment	
	DUPLICATE_URL	200	https://equsto.com/en/kitchen-quote-platform	https://equsto.com/en/kitchen-quote-platform	
	DUPLICATE_URL	200	https://equsto.com/en/bar-design-turkey	https://equsto.com/en/bar-design-turkey	
	DUPLICATE_URL	200	https://equsto.com/	https://equsto.com	
	DUPLICATE_URL	200	https://equsto.com/	https://equsto.com	
	DUPLICATE_URL	200	https://equsto.com/pfos	https://equsto.com/pfos	
	MISSING_CANONICAL	200	https://equsto.com/besos		
	DUPLICATE_URL	200	https://equsto.com/besos/imt300	https://equsto.com/besos/imt300	
	NOINDEX	200	https://equsto.com/arama	https://equsto.com/arama	
	DUPLICATE_URL	200	https://equsto.com/shop/marka	https://equsto.com/shop/marka	
	DUPLICATE_URL	200	https://equsto.com/shop/pisirme	https://equsto.com/shop/pisirme	
	DUPLICATE_URL	200	https://equsto.com/shop/sogutma	https://equsto.com/shop/sogutma	
	DUPLICATE_URL	200	https://equsto.com/shop/kahve	https://equsto.com/shop/kahve	
	DUPLICATE_URL	200	https://equsto.com/shop/yikama	https://equsto.com/shop/yikama	
	DUPLICATE_URL	200	https://equsto.com/shop/hazirlik	https://equsto.com/shop/hazirlik	
	DUPLICATE_URL	200	https://equsto.com/shop/icecek	https://equsto.com/shop/icecek	
	DUPLICATE_URL	200	https://equsto.com/shop/tezgah	https://equsto.com/shop/tezgah	
	DUPLICATE_URL	200	https://equsto.com/shop/tezgah	https://equsto.com/shop/tezgah	
	DUPLICATE_URL	200	https://equsto.com/shop/davlumbaz	https://equsto.com/shop/davlumbaz	
	DUPLICATE_URL	200	https://equsto.com/shop/tasima	https://equsto.com/shop/tasima	
	DUPLICATE_URL	200	https://equsto.com/shop/araba	https://equsto.com/shop/araba	
	DUPLICATE_URL	200	https://equsto.com/shop/istif	https://equsto.com/shop/istif	
	DUPLICATE_URL	200	https://equsto.com/shop/set-ustu-mutfak	https://equsto.com/shop/set-ustu-mutfak	
	DUPLICATE_URL	200	https://equsto.com/shop/kuvetler	https://equsto.com/shop/kuvetler	
	DUPLICATE_URL	200	https://equsto.com/shop/market-reyonlari	https://equsto.com/shop/market-reyonlari	
	HTTP_404	404	https://equsto.com/pfos/restoran/istanbul/modern/150m2		HTTP 404
	HTTP_404	404	https://equsto.com/pfos/kafe/istanbul/ozgun/80m2		HTTP 404
	HTTP_404	404	https://equsto.com/pfos/catering/istanbul/klasik/200m2		HTTP 404
	HTTP_404	404	https://equsto.com/pfos/steakhouse/istanbul/modern/150m2		HTTP 404
	HTTP_404	404	https://equsto.com/pfos/bar/istanbul/ozgun/100m2		HTTP 404
	HTTP_404	404	https://equsto.com/pfos/bulut-mutfak/istanbul/modern/120m2		HTTP 404
	HTTP_404	404	https://equsto.com/pfos/restoran/ankara/modern/150m2		HTTP 404
	HTTP_404	404	https://equsto.com/pfos/kafe/ankara/ozgun/80m2		HTTP 404
	HTTP_404	404	https://equsto.com/pfos/catering/ankara/klasik/200m2		HTTP 404
	HTTP_404	404	https://equsto.com/pfos/steakhouse/ankara/modern/150m2		HTTP 404
	HTTP_404	404	https://equsto.com/pfos/restoran/izmir/modern/120m2		HTTP 404
	HTTP_404	404	https://equsto.com/pfos/kafe/izmir/ozgun/100m2		HTTP 404
	HTTP_404	404	https://equsto.com/pfos/bar/izmir/ozgun/80m2		HTTP 404
	HTTP_404	404	https://equsto.com/pfos/steakhouse/izmir/modern/150m2		HTTP 404
	HTTP_404	404	https://equsto.com/pfos/restoran/bursa/modern/150m2		HTTP 404
	HTTP_404	404	https://equsto.com/pfos/kafe/bursa/ozgun/80m2		HTTP 404
	HTTP_404	404	https://equsto.com/pfos/catering/bursa/klasik/200m2		HTTP 404
	HTTP_404	404	https://equsto.com/pfos/restoran/antalya/modern/150m2		HTTP 404
	HTTP_404	404	https://equsto.com/pfos/kafe/antalya/ozgun/100m2		HTTP 404
	HTTP_404	404	https://equsto.com/pfos/bar/antalya/ozgun/80m2		HTTP 404
	HTTP_404	404	https://equsto.com/pfos/restoran/adana/modern/150m2		HTTP 404
	HTTP_404	404	https://equsto.com/pfos/steakhouse/adana/modern/150m2		HTTP 404
	HTTP_404	404	https://equsto.com/pfos/restoran/gaziantep/modern/150m2		HTTP 404
	HTTP_404	404	https://equsto.com/pfos/kafe/gaziantep/ozgun/80m2		HTTP 404
	HTTP_404	404	https://equsto.com/pfos/restoran/kocaeli/modern/150m2		HTTP 404
	HTTP_404	404	https://equsto.com/pfos/catering/kocaeli/klasik/200m2		HTTP 404
	HTTP_404	404	https://equsto.com/en/shop		HTTP 404
	WRONG_CANONICAL	200	https://equsto.com/en/shop/marka	https://equsto.com/shop/marka	
	WRONG_CANONICAL	200	https://equsto.com/en/cart	https://equsto.com/sepet	
	DUPLICATE_URL	200	https://equsto.com/en/shop/pisirme	https://equsto.com/en/shop/pisirme	
	DUPLICATE_URL	200	https://equsto.com/en/shop/sogutma	https://equsto.com/en/shop/sogutma	
	DUPLICATE_URL	200	https://equsto.com/en/shop/kahve	https://equsto.com/en/shop/kahve	
	DUPLICATE_URL	200	https://equsto.com/en/shop/yikama	https://equsto.com/en/shop/yikama	
	DUPLICATE_URL	200	https://equsto.com/en/shop/hazirlik	https://equsto.com/en/shop/hazirlik	
	DUPLICATE_URL	200	https://equsto.com/en/shop/icecek	https://equsto.com/en/shop/icecek	
	DUPLICATE_URL	200	https://equsto.com/en/shop/tezgah	https://equsto.com/en/shop/tezgah	
	DUPLICATE_URL	200	https://equsto.com/en/shop/dolap	https://equsto.com/en/shop/dolap	
	DUPLICATE_URL	200	https://equsto.com/en/shop/davlumbaz	https://equsto.com/en/shop/davlumbaz	
	DUPLICATE_URL	200	https://equsto.com/en/shop/tasima	https://equsto.com/en/shop/tasima	
	DUPLICATE_URL	200	https://equsto.com/en/shop/araba	https://equsto.com/en/shop/araba	
	DUPLICATE_URL	200	https://equsto.com/en/shop/istif	https://equsto.com/en/shop/istif	
	DUPLICATE_URL	200	https://equsto.com/en/shop/set-ustu-mutfak	https://equsto.com/en/shop/set-ustu-mutfak	
	DUPLICATE_URL	200	https://equsto.com/en/shop/kuvetler	https://equsto.com/en/shop/kuvetler	
	DUPLICATE_URL	200	https://equsto.com/en/shop/market-reyonlari	https://equsto.com/en/shop/market-reyonlari	
	HTTP_404	404	https://equsto.com/en/pfos/restaurant/istanbul/modern/150m2		HTTP 404
	HTTP_404	404	https://equsto.com/en/pfos/cafe/istanbul/signature/80m2		HTTP 404
	HTTP_404	404	https://equsto.com/en/pfos/catering/istanbul/classic/200m2		HTTP 404
	HTTP_404	404	https://equsto.com/en/pfos/steakhouse/istanbul/modern/150m2		HTTP 404
	HTTP_404	404	https://equsto.com/en/pfos/bar/istanbul/signature/100m2		HTTP 404
	HTTP_404	404	https://equsto.com/en/pfos/cloud-kitchen/istanbul/modern/120m2		HTTP 404
	HTTP_404	404	https://equsto.com/en/pfos/restaurant/ankara/modern/150m2		HTTP 404
	HTTP_404	404	https://equsto.com/en/pfos/cafe/ankara/signature/80m2		HTTP 404
	HTTP_404	404	https://equsto.com/en/pfos/catering/ankara/classic/200m2		HTTP 404
	HTTP_404	404	https://equsto.com/en/pfos/steakhouse/ankara/modern/150m2		HTTP 404
	HTTP_404	404	https://equsto.com/en/pfos/restaurant/izmir/modern/120m2		HTTP 404
	HTTP_404	404	https://equsto.com/en/pfos/cafe/izmir/signature/100m2		HTTP 404
	HTTP_404	404	https://equsto.com/en/pfos/bar/izmir/signature/80m2		HTTP 404
	HTTP_404	404	https://equsto.com/en/pfos/steakhouse/izmir/modern/150m2		HTTP 404
	HTTP_404	404	https://equsto.com/en/pfos/restaurant/bursa/modern/150m2		HTTP 404
	HTTP_404	404	https://equsto.com/en/pfos/cafe/bursa/signature/80m2		HTTP 404
	HTTP_404	404	https://equsto.com/en/pfos/catering/bursa/classic/200m2		HTTP 404
	HTTP_404	404	https://equsto.com/en/pfos/restaurant/antalya/modern/150m2		HTTP 404
	HTTP_404	404	https://equsto.com/en/pfos/cafe/antalya/signature/100m2		HTTP 404
	HTTP_404	404	https://equsto.com/en/pfos/bar/antalya/signature/80m2		HTTP 404
	HTTP_404	404	https://equsto.com/en/pfos/restaurant/adana/modern/150m2		HTTP 404
	HTTP_404	404	https://equsto.com/en/pfos/steakhouse/adana/modern/150m2		HTTP 404
	HTTP_404	404	https://equsto.com/en/pfos/restaurant/gaziantep/modern/150m2		HTTP 404
	HTTP_404	404	https://equsto.com/en/pfos/cafe/gaziantep/signature/80m2		HTTP 404
	HTTP_404	404	https://equsto.com/en/pfos/restaurant/kocaeli/modern/150m2		HTTP 404
