severity,category,item,detail
warn,duplicate_title,GURMEAID PARIZYEN KASIGI 22 MM · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__9350-10942-22, oztiryakiler-endustriyel-mutfak__9350-10936-22"
warn,duplicate_title,GURMEAID SOYACAK · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__9350-10925-55, oztiryakiler-endustriyel-mutfak__9350-10925-ss"
warn,duplicate_title,GURMEAID KRUVASAN KESICI 18/14 · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__9615-tccs1-814, oztiryakiler-endustriyel-mutfak__9615-tccs1-820"
warn,duplicate_title,GURMEAID KESICI · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__9615-rdpsa-70, oztiryakiler-endustriyel-mutfak__9615-rdppp-12"
warn,duplicate_title,GURMEAID KESICI PLASTIK · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__9615-lcrpp-p12, oztiryakiler-endustriyel-mutfak__9615-ppp60-00"
warn,duplicate_title,GURMEAID PLASTIK KAZIYICI · Öztiryakiler Endüstriyel Mutfak · Equsto,"8 products: oztiryakiler-endustriyel-mutfak__9620-scppp-02, oztiryakiler-endustriyel-mutfak__9620-scppp-04, oztiryakiler-endustriyel-mutfak__9620-scppp-05…"
warn,duplicate_title,GURMEAID DUY · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__9999-pnlar-ge, oztiryakiler-endustriyel-mutfak__9999-pnsma-ll"
warn,duplicate_title,GURMEAID EKMEK SEPETI 24X18X8 CM BEJ RENK · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__9478-jq100-40, oztiryakiler-endustriyel-mutfak__9478-jq510-04"
warn,duplicate_title,GURMEAID EKMEK SEPETI 24X18X8 CM SİYAH RENK · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__9478-jq100-40b, oztiryakiler-endustriyel-mutfak__9478-jq510-04b"
warn,duplicate_title,GURMEAID EKMEK SEPETI 26X24X8 CM BEJ RENK · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__9478-jq101-10, oztiryakiler-endustriyel-mutfak__9478-jq510-01"
