model;fix_tip;before_tl;after_tl;diff_tl;before_iskonto;after_iskonto;pdf_usd;pdf_eur;kaynak
VSS-08C;fiyat;12219;12266;47;52;52;450;0;vosco-pdf-2026
VBBC-350S;fiyat;46591;46546;-45;52;52;0;1500;vosco-pdf-2026
VGBC-350G;fiyat;46591;46546;-45;52;52;0;1500;vosco-pdf-2026
VBBC-250S;fiyat;45038;44994;-44;52;52;0;1450;vosco-pdf-2026
VGBC-250G;fiyat;45038;44994;-44;52;52;0;1450;vosco-pdf-2026
VALP-A83;fiyat;10861;10903;42;52;52;400;0;vosco-pdf-2026
VHS-360CG;fiyat;10318;10358;40;52;52;380;0;vosco-pdf-2026
VHS-360CS;fiyat;10318;10358;40;52;52;380;0;vosco-pdf-2026
VHF-F4;fiyat;10318;10358;40;52;52;380;0;vosco-pdf-2026
VALP-C09D;fiyat;10182;10221;39;52;52;375;0;vosco-pdf-2026
VALP-C05D;fiyat;9504;9540;36;52;52;350;0;vosco-pdf-2026
VALP-DIC126;fiyat;9504;9540;36;52;52;350;0;vosco-pdf-2026
VBL-811E;fiyat;8146;8177;31;52;52;300;0;vosco-pdf-2026
VF-2S;fiyat;8146;8177;31;52;52;300;0;vosco-pdf-2026
VBBC-150S;fiyat;32613;32582;-31;52;52;0;1050;vosco-pdf-2026
VGBC-150G;fiyat;32613;32582;-31;52;52;0;1050;vosco-pdf-2026
VHS-200EG;fiyat;7874;7904;30;52;52;290;0;vosco-pdf-2026
VHS-200EK;fiyat;7874;7904;30;52;52;290;0;vosco-pdf-2026
VHS-200ES;fiyat;7874;7904;30;52;52;290;0;vosco-pdf-2026
VHS-602CG;fiyat;7874;7904;30;52;52;290;0;vosco-pdf-2026
VHS-602CS;fiyat;7874;7904;30;52;52;290;0;vosco-pdf-2026
VKS-100T;fiyat;7467;7496;29;52;52;275;0;vosco-pdf-2026
VBD-CG018;fiyat;7331;7359;28;52;52;270;0;vosco-pdf-2026
VHS-J606;fiyat;6788;6814;26;52;52;250;0;vosco-pdf-2026
VHS-206CM;fiyat;6788;6814;26;52;52;250;0;vosco-pdf-2026
VHS-JE2106A;fiyat;6788;6814;26;52;52;250;0;vosco-pdf-2026
VHS-206CK;fiyat;5159;5179;20;52;52;190;0;vosco-pdf-2026
VHS-206CS;fiyat;5159;5179;20;52;52;190;0;vosco-pdf-2026
VHS-206K;fiyat;5159;5179;20;52;52;190;0;vosco-pdf-2026
VHS-206M;fiyat;5159;5179;20;52;52;190;0;vosco-pdf-2026
VHS-206S;fiyat;5159;5179;20;52;52;190;0;vosco-pdf-2026
VALP-DC50;fiyat;4888;4906;18;52;52;180;0;vosco-pdf-2026
VSC-900B;fiyat;2064;2072;8;52;52;76;0;vosco-pdf-2026
VKB1-601901;fiyat;1629;1635;6;52;52;60;0;vosco-pdf-2026
VSC-7;fiyat;1358;1363;5;52;52;50;0;vosco-pdf-2026
VSC-700B;fiyat;1358;1363;5;52;52;50;0;vosco-pdf-2026
VSC-1;fiyat;950;954;4;52;52;35;0;vosco-pdf-2026
VSC-3;fiyat;1195;1199;4;52;52;44;0;vosco-pdf-2026
VSC-300B;fiyat;1195;1199;4;52;52;44;0;vosco-pdf-2026
VSCG-3;fiyat;1086;1090;4;52;52;40;0;vosco-pdf-2026
