model;sku;name;liste_eur;satis_eur;fiyat_tl;kaynak;id;dept;group
EMH-15;118.EMH15;"Senox Dondurma Makinesi, 1.5 L, EMH15";903;487.62;32634;senox-mutbex-liste;senox__senox-emh-15;hazirlik.json;mutbex-only
FLT120;FLT120;"Senox FLT120 Coffeedio Filtre Kahve Makinesi, 1.8 L";;;13920.72;cafemarkt-plp;senox__flt120;kahve.json;other
GGM;118.GGM;"Senox Et Kemik Testeresi, GGM";2128.5;1149.39;76924;senox-mutbex-liste;senox__senox-ggm;hazirlik.json;mutbex-only
HC-600;118.HC.600;"Senox Titan Kahve Değirmeni, HC 600";1573.8;849.85;56877;senox-mutbex-liste;senox__senox-hc-600;kahve.json;mutbex-only
HIJYENB;118.HIJYENB;"Senox Taban Fırçasız Hijyen Bariyeri";11610;6269.4;419585;senox-mutbex-liste;senox__senox-hijyenb;servis.json;mutbex-only
HIJYENB-TF;118.HIJYENB.TF;"Senox Taban Fırçalı Hijyen Bariyeri";12900;6966;466205;senox-mutbex-liste;senox__senox-hijyenb-tf;servis.json;mutbex-only
ICT-130;118.ICT.130;"Senox ICT 130 İçecek Teşhir Dolabı, 131x71x179,5 cm";5805;3134.7;209792;senox-mutbex-liste;senox__senox-ict-130;sogutma.json;mutbex-only
KA-18;118.KA18;"Senox Set Üstü Köpüklü Ayran Makinesi, 18 L, KA 18";2425.2;1309.61;87647;senox-mutbex-liste;senox__senox-ka-18;icecek.json;mutbex-only
KAM;KAM;"Senox Köpüklü Ayran Makinesi, 40 L";;;88744.62;cafemarkt-plp;senox__kam;hazirlik.json;other
KMP-01;118.KMP.01;"Senox KMP 01 Katı Meyve Sıkacağı";516;278.64;18648;senox-mutbex-liste;senox__senox-kmp-01;icecek.json;mutbex-only
KO-180T;118.KO.180T;"Senox KO 180T Kasa Önü Soğuk İçecek Dolabı, 180x84,5x154,8 cm";10320;5572.8;372964;senox-mutbex-liste;senox__senox-ko-180t;sogutma.json;mutbex-only
KRS-105;118.KRS.105;"Senox Lifetech Otel Tipi Çelik Kettle, 1,2 lt";46.44;25.08;1678;senox-mutbex-liste;senox__senox-krs-105;icecek.json;mutbex-only
KSC-293;118.KSC.293;"Senox Dik Tip Şişe Soğutucu Dolap, 293 L, KSC 293";1612.5;870.75;58276;senox-mutbex-liste;senox__senox-ksc-293;sogutma.json;mutbex-only
