model;sku;name;liste_eur;satis_eur;fiyat_tl;kaynak;id;dept;group
SDS-1010-SC-2CF-S;118.SDS1010.SC2CF.S;"Senox Çift Kapılı Dik Tip Şişe Soğutucu, Kanopili, Sürgü Kapılı, Siyah, 98x74x214,5 cm";2902.5;1567.35;104896;senox-mutbex-liste;senox__senox-sds-1010-sc-2cf-s;sogutma.json;mutbex-only
SDS-1010-SC-2YF-B;118.SDS1010.SC2YF.B;"Senox Çift Kapılı Dik Tip Şişe Soğutucu, Kanopisiz Sürgü Kapılı, Beyaz, 98x74x214,5 cm";2580;1393.2;93241;senox-mutbex-liste;senox__senox-sds-1010-sc-2yf-b;sogutma.json;mutbex-only
SDS-1010-SC-2YF-S;118.SDS1010.SC2YF.S;"Senox Çift Kapılı Dik Tip Şişe Soğutucu, Kanopisiz, Sürgü Kapılı, Siyah, 98x74x214,5 cm";2902.5;1567.35;104896;senox-mutbex-liste;senox__senox-sds-1010-sc-2yf-s;sogutma.json;mutbex-only
SDS-1510-DC-3CF;118.SDS1510.DC3CF;"Senox 3 Kapılı Dik Tip Şişe Soğutucu, Kanopili, 150x69x207,5 cm";4257;2298.78;153848;senox-mutbex-liste;senox__senox-sds-1510-dc-3cf;sogutma.json;mutbex-only
SDS-265-DC-1-CF;118.SDS.265.DC.1.CF;"Senox SDS 265 DC 1 CF Slim Dik Tip Şişe Soğutucu";1290;696.6;46621;senox-mutbex-liste;senox__senox-sds-265-dc-1-cf;sogutma.json;mutbex-only
SDS-265-DC-1-CF-P;118.SDS.265.DC.1.CF.P;"Senox SDS 265 DC 1 CF P Premium Slim Dik Tip Şişe Soğutucu";1548;835.92;55945;senox-mutbex-liste;senox__senox-sds-265-dc-1-cf-p;sogutma.json;mutbex-only
SDS-385-DC-1YWP;118.SDS385.DC1YWP;"Senox SDS 385 DC 1 YW-P Şarap Dolabı, 150 Şişe Kapasiteli";1999.5;1079.73;72262;senox-mutbex-liste;senox__senox-sds-385-dc-1ywp;sogutma.json;mutbex-only
SDS-385-DCPF;118.SDS385.DCPF;"Senox Tek Kapılı Dik Tip Şişe Soğutucu, Kanopisiz Siyah, 59,5x60,5x181 cm";1290;696.6;46621;senox-mutbex-liste;senox__senox-sds-385-dcpf;sogutma.json;mutbex-only
SDS-710-DC;118.SDS.710.DC;"Senox SDS 710 DC Dik Tip Şişe Soğutucu, Kanopisiz";1870.5;1010.07;67600;senox-mutbex-liste;senox__senox-sds-710-dc;sogutma.json;mutbex-only
SDS-770-DC-2DF;118.SDS770.DC2DF;"Senox Çift Kapılı Dik Tip Şişe Soğutucu, Siyah, 120x60,5x181 cm";2967;1602.18;107227;senox-mutbex-liste;senox__senox-sds-770-dc-2df;sogutma.json;mutbex-only
SDS.770.DC.2.DF.SIY;SDS.770.DC.2.DF.SIY;"Senox SDS-770 DC 2 DF Dik Tip Şişe Soğutucu Dolap, Siyah";;;85046.93;cafemarkt-plp;senox__sds-770-dc-2-df-siy;sogutma.json;other
SDS.770.DC.2.DFK.SIY;SDS.770.DC.2.DFK.SIY;"Senox SDS-770 DC 2 DF Dik Tip Kanopili Sürgü Kapılı Şişe Soğutucu Dolap, Siyah";;;85046.93;cafemarkt-plp;senox__sds-770-dc-2-dfk-siy;sogutma.json;other
SDS385.DC1.CF;SDS385.DC1.CF;"Senox SDS-385 DC1 CF Dik Tip Şişe Soğutucu Dolap, 345 L, Gri";;;40674.62;cafemarkt-plp;senox__sds385-dc1-cf;sogutma.json;other
SEMG-16K;118.SEMG.16K;"Senox Soft Dondurma Makinesi, 16 L, Tek Grupla, SEMG 16K";4515;2438.1;163172;senox-mutbex-liste;senox__senox-semg-16k;hazirlik.json;mutbex-only
SEMG.32K;SEMG.32K;"Senox SEMG-32K Soft Dondurma Makinesi, 32 L, Çift Kollu";;;278414.48;cafemarkt-plp;senox__semg-32k;sogutma.json;other
SET-E-120S;118.SET.E.120S;"Senox SET E 120S Set Üstü Soğuk Pasta Teşhir Dolabı, Eğik Cam, 120x60x70 cm";2580;1393.2;93241;senox-mutbex-liste;senox__senox-set-e-120s;sogutma.json;mutbex-only
SET-E-75S;118.SET.E.75S;"Senox SET P 75S Set Üstü Soğuk Pasta Teşhir Dolabı, Panaromik Cam, 70x60x70 cm";1806;975.24;65269;senox-mutbex-liste;senox__senox-set-e-75s;sogutma.json;mutbex-only
SET-E-90C;118.SET.E.90C;"Senox SET E 90C Set Üstü Sıcak Pasta Teşhir Dolabı Eğik Cam, 90x60x70 cm";1999.5;1079.73;72262;senox-mutbex-liste;senox__senox-set-e-90c;sogutma.json;mutbex-only
SET-E-90S;118.SET.E.90S;"Senox SET E 90S Set Üstü Soğuk Pasta Teşhir Dolabı, Eğik Cam, 90x60x70 cm";1935;1044.9;69931;senox-mutbex-liste;senox__senox-set-e-90s;sogutma.json;mutbex-only
SET-P-75C;118.SET.P.75C;"Senox Set Üstü Sıcak Teşhir Dolabı, Panaromik Cam, SET P 75C";1677;905.58;60607;senox-mutbex-liste;senox__senox-set-p-75c;sogutma.json;mutbex-only
SET-P-90C;118.SET.P.90C;"Senox SET P 90C Set Üstü Sıcak Pasta Teşhir Dolabı, Panaromik Cam, 90x60x70 cm";1806;975.24;65269;senox-mutbex-liste;senox__senox-set-p-90c;sogutma.json;mutbex-only
SET-P-90S;118.SET.P.90S;"Senox SET P 90S Set Üstü Soğuk Pasta Teşhir Dolabı, Panaromik Cam, 90x60x70 cm";2257.5;1219.05;81586;senox-mutbex-liste;senox__senox-set-p-90s;sogutma.json;mutbex-only
SET.100C;SET.100C;"Senox Set Üstü Sıcak Pizza Teşhir Dolabı, Düz Camlı, 90 L";;;66558.46;cafemarkt-plp;senox__set-100c;hazirlik.json;other
SET.100S;SET.100S;"Senox Set Üstü Sıcak Pizza Teşhir Dolabı, Düz Camlı, 120 L";;;66558.46;cafemarkt-plp;senox__set-100s;hazirlik.json;other
SET.120C;SET.120C;"Senox Set Üstü Sıcak Teşhir Dolabı, Dik Camlı, 120 L";;;66558.46;cafemarkt-plp;senox__set-120c;hazirlik.json;other
SET.120S;SET.120S;"Senox Set Üstü Soğuk Pasta Teşhir Dolabı, Dik Camlı, 120 L";;;73953.85;cafemarkt-plp;senox__set-120s;hazirlik.json;other
SET.90C;SET.90C;"Senox Set Üstü Sıcak Teşhir Dolabı, Dik Camlı, 90 L";;;61011.93;cafemarkt-plp;senox__set-90c;hazirlik.json;other
SET.90S;SET.90S;"Senox Set Üstü Soğuk Pasta Teşhir Dolabı, Dik Camlı, 90 L";;;64709.62;cafemarkt-plp;senox__set-90s;hazirlik.json;other
SET.P75S;SET.P75S;"Senox Set Üstü Pasta Teşhir Dolabı, Panaromik Cam, 75 cm";;;57519.66;cafemarkt-plp;senox__set-p75s;hazirlik.json;other
SMF-5120-ST;118.SMF.5120.ST;"Senox SMF-5120 ST Tezgah Altı Derin Dondurucu, Tek Kapılı";1032;557.28;37296;senox-mutbex-liste;senox__senox-smf-5120-st;sogutma.json;mutbex-only
SMR-5120-ST;118.SMR.5120.ST;"Senox SMR-5120 ST Tezgah Altı Soğutucu, Tek Kapılı";645;348.3;23310;senox-mutbex-liste;senox__senox-smr-5120-st;sogutma.json;mutbex-only
SRDNY-215;118.SRDNY215;"Senox Sardunya 215 Pasta Teshir Dolapları 215 LT, 52x49x160 cm";2322;1253.88;83917;senox-mutbex-liste;senox__senox-srdny-215;sogutma.json;mutbex-only
SSC-1500;118.SSC.1500;"Senox Dik Tip Şişe Soğutucu Dolap, 2 Kapılı, 1077 L, SSC 1500";4515;2438.1;163172;senox-mutbex-liste;senox__senox-ssc-1500;sogutma.json;mutbex-only
SSC-1600;118.SSC.1600;"Senox Dik Tip Şişe Soğutucu Dolap, 3 Kapılı, 1153 L, SSC 1600";4773;2577.42;172496;senox-mutbex-liste;senox__senox-ssc-1600;sogutma.json;mutbex-only
SSC-375;118.SSC.375;"Senox Dik Tip Şişe Soğutucu Dolap, 345 L, SSC 375";1419;766.26;51283;senox-mutbex-liste;senox__senox-ssc-375;sogutma.json;mutbex-only
SSC-510;118.SSC.510;"Senox Dik Tip Şişe Soğutucu Dolap, 445 L, SSC 510";1612.5;870.75;58276;senox-mutbex-liste;senox__senox-ssc-510;sogutma.json;mutbex-only
SSC-900;118.SSC.900;"Senox Dik Tip Şişe Soğutucu Dolap, 683 L, SSC 900";3031.5;1637.01;109558;senox-mutbex-liste;senox__senox-ssc-900;sogutma.json;mutbex-only
SSC-900K;118.SSC.900K;"Senox Kanopili Dik Tip Şişe Soğutucu Dolap, 683 L, SSC 900K";3031.5;1637.01;109558;senox-mutbex-liste;senox__senox-ssc-900k;sogutma.json;mutbex-only
STRC;118.STRC;"Senox Streç Sarma Makinesi";232.2;125.39;8392;senox-mutbex-liste;senox__senox-strc;hazirlik.json;mutbex-only
TEK.65;TEK.65;"Senox Blok Kapılı Mini Buzdolabı, 85 L, Beyaz";;;20881.09;cafemarkt-plp;senox__tek-65;sogutma.json;other
TITAN-LL;118.TITAN.ll;"Senox Titan Kahve Değirmeni, TITAN ll";1006.2;543.35;36364;senox-mutbex-liste;senox__senox-titan-ll;kahve.json;mutbex-only
TKO.01;TKO.01;"Senox Türk Kahvesi Öğütme Makinesi, 30 kg/saat, Kırmızı";;;60903.17;cafemarkt-plp;senox__tko-01;kahve.json;other
TKO.02;TKO.02;"Senox Türk Kahvesi Öğütme Makinesi, 1100 W";;;41762.17;cafemarkt-plp;senox__tko-02;kahve.json;other
TKVNR108E;TKVNR108E;"Senox Set Üstü Balık Soğutucu Teşhir Vitrini, 695x882x417 cm";;;52202.72;cafemarkt-plp;senox__tkvnr108e;sogutma.json;other
VN-25RO;118.VN25RO;"Senox DS-03 Arıtmalı Sıcak ve Soğuk Su Sebili";709.5;383.13;25641;senox-mutbex-liste;senox__senox-vn-25ro;sogutma.json;mutbex-only
WD-737;118.WD737;"Senox DS-04 Buz, Sıcak ve Soğuk Su Sebili";1032;557.28;37296;senox-mutbex-liste;senox__senox-wd-737;sogutma.json;mutbex-only
WF-377;118.WF377;"Senox Dik Tip Derin Dondurucu, 5 Raflı";2451;1323.54;88579;senox-mutbex-liste;senox__senox-wf-377;sogutma.json;mutbex-only
WN-180;118.WN.180;"Senox Sarap Soğutma Dolabı, WN 180";1419;766.26;51283;senox-mutbex-liste;senox__senox-wn-180;sogutma.json;mutbex-only
WN-375S;118.WN375S;"Senox Sarap Soğutma Dolabı, WN 375S";1999.5;1079.73;72262;senox-mutbex-liste;senox__senox-wn-375s;sogutma.json;mutbex-only
WN-385;118.WN385;"Senox Sarap Soğutma Dolabı, WN 385";2193;1184.22;79255;senox-mutbex-liste;senox__senox-wn-385;sogutma.json;mutbex-only
ZPDC.O;ZPDC.O;"Senox ZPDC.O Narenciye Sıkma Makinesi, 570 W, Turuncu";;;43502.26;cafemarkt-plp;senox__zpdc-o;hazirlik.json;other
ZPDC.W;ZPDC.W;"Senox ZPDC.W Narenciye Sıkma Makinesi, 570 W, Beyaz";;;43502.26;cafemarkt-plp;senox__zpdc-w;hazirlik.json;other
ZPDC.Y;ZPDC.Y;"Senox ZPDC.Y Narenciye Sıkma Makinesi, 570 W, Sarı";;;43502.26;cafemarkt-plp;senox__zpdc-y;hazirlik.json;other
ZPEC.G;ZPEC.G;"Senox ZPEC.G Narenciye Sıkma Makinesi, Altın";;;41762.17;cafemarkt-plp;senox__zpec-g;hazirlik.json;other
ZPEC.O;ZPEC.O;"Senox ZPEC.O Narenciye Sıkma Makinesi, 570 W, Turuncu";;;27841.45;cafemarkt-plp;senox__zpec-o;hazirlik.json;other
ZPEC.S;ZPEC.S;"Senox ZPEC.S Narenciye Sıkma Makinesi, 570 W, Gümüş";;;34801.81;cafemarkt-plp;senox__zpec-s;hazirlik.json;other
