scope	brand	category	subcategory	sku	product_code	barcode	equsto_name	equsto_price_vat_included	mutbex_name	mutbex_price_vat_included	difference_tl	difference_percent	classification	match_method	confidence	stock_status	equsto_url	mutbex_url	notes
HAZIRLIK	Dito Sama	Hazırlık	Lva100 32 Litre El40 32 Litre Elx65 65 Litre	208.600522	DİTO		Dito Sama Dik Tip Gıda Dilimleme Makinesi, 300 mm	88514.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.600522		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Lva100 32 Litre El40 32 Litre Elx65 65 Litre	208.603354	DİTO		Dito Sama EL40 Sebze Kurutma Makinesi, 32 L	97128.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.603354		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Lva100 32 Litre El40 32 Litre Elx65 65 Litre	208.603651	DİTO		Dito Sama ELX65 Sebze Kurutma Makinesi, 65 L	142599.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.603651		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Lva100 32 Litre El40 32 Litre Elx65 65 Litre	208.601524	DİTO		Dito Sama LVA100 Sebze Yıkama ve Kurutma Makinesi, 32 L	337758.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.601524		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Lva100 32 Litre El40 32 Litre Elx65 65 Litre	208.600524	DİTO		Dito Sama Yatık Tip Gıda Dilimleme Makinesi, 250 mm	40561.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.600524		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Lva100 32 Litre El40 32 Litre Elx65 65 Litre	208.600521	DİTO		Dito Sama Yatık Tip Gıda Dilimleme Makinesi, 300 mm	73158.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.600521		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Lva100 32 Litre El40 32 Litre Elx65 65 Litre	208.600523	DİTO		Dito Sama Yatık Tip Gıda Dilimleme Makinesi, 350 mm	129513.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.600523		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Net A İrlik	208.600970	DİTO		Dito Sama Prep4You Kompakt Sebze Doğrama Makinesi, 1 Hızlı, 200 kg/saat	40189.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.600970		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Net A İrlik	208.600972	DİTO		Dito Sama Prep4You Kompakt Sebze Doğrama Makinesi, Değişken Hızlı, 200 kg/saat	58654.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.600972		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Net A İrlik	208.650196	DİTO		Dito Sama Prep4You Sebze Doğrama Disk Seti, 3 Adet	8043.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.650196		No match found on Mutbex
