decision	confidence	reason	lang	dept	slug	target	was_login	url
DROP_NO_VALUE	high	no_product_match	en	tezgah	pimak-16080-57		False	https://equsto.com/en/shop/tezgah/pimak-16080-57
DROP_NO_VALUE	high	no_product_match	tr	tezgah	pimak-20060-14		False	https://equsto.com/shop/tezgah/pimak-20060-14
DROP_NO_VALUE	high	no_product_match	en	tezgah	pimak-07060-11		False	https://equsto.com/en/shop/tezgah/pimak-07060-11
DROP_NO_VALUE	high	no_product_match	tr	hazirlik	rc-2390		False	https://equsto.com/shop/hazirlik/rc-2390
DROP_NO_VALUE	high	no_product_match	tr	sogutma	9805-xnehc-32		False	https://equsto.com/shop/sogutma/9805-xnehc-32
DROP_NO_VALUE	high	no_product_match	tr	tezgah	pimak-12070-51		False	https://equsto.com/shop/tezgah/pimak-12070-51
DROP_NO_VALUE	high	not_sellable	en	set-ustu-mutfak	8893-up235w-00		True	https://equsto.com/en/login.html?next=/en/shop/set-ustu-mutfak/8893-up235w-00
DROP_NO_VALUE	high	login_next_no_product	en	market-reyonlari	eq-nergis-lb-tp-eq42		True	https://equsto.com/en/login.html?next=/en/shop/market-reyonlari/eq-nergis-lb-tp-eq42
DROP_NO_VALUE	high	login_next_no_product	en	market-reyonlari	eq-fulya-nv-pn-eq33		True	https://equsto.com/en/login.html?next=/en/shop/market-reyonlari/eq-fulya-nv-pn-eq33
DROP_NO_VALUE	high	no_product_match	en	tezgah	dr04-503030-00		False	https://equsto.com/en/shop/tezgah/dr04-503030-00
DROP_NO_VALUE	high	no_product_match	tr	tezgah	pimak-2814070		False	https://equsto.com/shop/tezgah/pimak-2814070
DROP_NO_VALUE	high	login_next_no_product	en	market-reyonlari	eq-orkide-eq12		True	https://equsto.com/en/login.html?next=/en/shop/market-reyonlari/eq-orkide-eq12
DROP_NO_VALUE	high	no_product_match	tr	tezgah	pimak-2812070		False	https://equsto.com/shop/tezgah/pimak-2812070
DROP_NO_VALUE	high	no_product_match	tr	tezgah	pimak-16070-70		False	https://equsto.com/shop/tezgah/pimak-16070-70
DROP_NO_VALUE	high	no_product_match	tr	tezgah	dr04-1603030-00		False	https://equsto.com/shop/tezgah/dr04-1603030-00
DROP_NO_VALUE	high	login_next_no_product	en	market-reyonlari	eq-nergis-lm-eq45		True	https://equsto.com/en/login.html?next=/en/shop/market-reyonlari/eq-nergis-lm-eq45
